customerID,Churn_Percentage,Churn,Possible Reason,Suggestion
7590-VHVEG,12.93%,No,Minor drop in activity detected. Early signs of dissatisfaction or boredom with current experience.,"Offer a quick feedback form to uncover issues early.
Send a thank-you message or small loyalty bonus to reinforce retention
Trigger a light re-engagement campaign (email push, app notification)
Recommend new features or content they haven’t tried"
5575-GNVDE,19.78%,No,Minor drop in activity detected. Early signs of dissatisfaction or boredom with current experience.,"Offer a quick feedback form to uncover issues early.
Send a thank-you message or small loyalty bonus to reinforce retention
Trigger a light re-engagement campaign (email push, app notification)
Recommend new features or content they haven’t tried"
3668-QPYBK,35.64%,No,Noticeable decline in usage. Possibly distracted or exploring competitors lightly.,"Prompt a short survey to understand what’s missing.
Consider sending a targeted discount or reminder of unused features.
Send personalized recommendations based on past usage
Offer a time-sensitive incentive to return"
7795-CFOCW,12.15%,No,Minor drop in activity detected. Early signs of dissatisfaction or boredom with current experience.,"Offer a quick feedback form to uncover issues early.
Send a thank-you message or small loyalty bonus to reinforce retention
Trigger a light re-engagement campaign (email push, app notification)
Recommend new features or content they haven’t tried"
9237-HQITU,10.28%,No,Minor drop in activity detected. Early signs of dissatisfaction or boredom with current experience.,"Offer a quick feedback form to uncover issues early.
Send a thank-you message or small loyalty bonus to reinforce retention
Trigger a light re-engagement campaign (email push, app notification)
Recommend new features or content they haven’t tried"
9305-CDSKC,6.61%,No,"High engagement with long-time contract registration, consistent usage behavior. No major signs of dissatisfaction or complaints.","Offer a feedback form to detect early signs of dissatisfaction.
Maintain current experience; keep things smooth and reliable
Send a thank-you message or small loyalty bonus to reinforce retention"
1452-KIOVK,19.88%,No,Minor drop in activity detected. Early signs of dissatisfaction or boredom with current experience.,"Offer a quick feedback form to uncover issues early.
Send a thank-you message or small loyalty bonus to reinforce retention
Trigger a light re-engagement campaign (email push, app notification)
Recommend new features or content they haven’t tried"
6713-OKOMC,14.5%,No,Minor drop in activity detected. Early signs of dissatisfaction or boredom with current experience.,"Offer a quick feedback form to uncover issues early.
Send a thank-you message or small loyalty bonus to reinforce retention
Trigger a light re-engagement campaign (email push, app notification)
Recommend new features or content they haven’t tried"
7892-POOKP,9.45%,No,"High engagement with long-time contract registration, consistent usage behavior. No major signs of dissatisfaction or complaints.","Offer a feedback form to detect early signs of dissatisfaction.
Maintain current experience; keep things smooth and reliable
Send a thank-you message or small loyalty bonus to reinforce retention"
6388-TABGU,5.08%,No,"High engagement with long-time contract registration, consistent usage behavior. No major signs of dissatisfaction or complaints.","Offer a feedback form to detect early signs of dissatisfaction.
Maintain current experience; keep things smooth and reliable
Send a thank-you message or small loyalty bonus to reinforce retention"
9763-GRSKD,7.45%,No,"High engagement with long-time contract registration, consistent usage behavior. No major signs of dissatisfaction or complaints.","Offer a feedback form to detect early signs of dissatisfaction.
Maintain current experience; keep things smooth and reliable
Send a thank-you message or small loyalty bonus to reinforce retention"
7469-LKBCI,62.38%,Yes,High risk of disengagement. Possible negative experiences or lack of perceived value.,"Launch a win-back campaign with time-limited offers
Reach out with personalized content or a support check-in
Emphasize benefits they haven’t used yet or customer success stories
"
8091-TTVAX,19.88%,No,Minor drop in activity detected. Early signs of dissatisfaction or boredom with current experience.,"Offer a quick feedback form to uncover issues early.
Send a thank-you message or small loyalty bonus to reinforce retention
Trigger a light re-engagement campaign (email push, app notification)
Recommend new features or content they haven’t tried"
0280-XJGEX,12.51%,No,Minor drop in activity detected. Early signs of dissatisfaction or boredom with current experience.,"Offer a quick feedback form to uncover issues early.
Send a thank-you message or small loyalty bonus to reinforce retention
Trigger a light re-engagement campaign (email push, app notification)
Recommend new features or content they haven’t tried"
5129-JLPIS,6.24%,No,"High engagement with long-time contract registration, consistent usage behavior. No major signs of dissatisfaction or complaints.","Offer a feedback form to detect early signs of dissatisfaction.
Maintain current experience; keep things smooth and reliable
Send a thank-you message or small loyalty bonus to reinforce retention"
3655-SNQYZ,10.89%,No,Minor drop in activity detected. Early signs of dissatisfaction or boredom with current experience.,"Offer a quick feedback form to uncover issues early.
Send a thank-you message or small loyalty bonus to reinforce retention
Trigger a light re-engagement campaign (email push, app notification)
Recommend new features or content they haven’t tried"
8191-XWSZG,18.98%,No,Minor drop in activity detected. Early signs of dissatisfaction or boredom with current experience.,"Offer a quick feedback form to uncover issues early.
Send a thank-you message or small loyalty bonus to reinforce retention
Trigger a light re-engagement campaign (email push, app notification)
Recommend new features or content they haven’t tried"
